Time;Step;File;Log;Visa;Plate
20170316_19:11:15;Connection;NA;Board connection;;test
20170316_19:11:39;Deriv_vert;gcode/20170316_19:11:39Method.gcode;gcode/20170316_19:11:39Method.gcode;;test
20170316_19:12:14;Deriv_vert;gcode/20170316_19:12:14Method.gcode;gcode/20170316_19:12:14Method.gcode;;test
20170316_19:12:16;Deriv_vert;gcode/20170316_19:12:16Method.gcode;gcode/20170316_19:12:16Method.gcode;;test
20170316_19:12:16;Deriv_vert;Emergency stop; LOG;;test
20170316_19:12:17;Deriv_vert;gcode/20170316_19:12:17Method.gcode;gcode/20170316_19:12:17Method.gcode;;test
20170316_19:12:45;Deriv_vert;gcode/20170316_19:12:45Method.gcode;gcode/20170316_19:12:45Method.gcode;;test
20170316_19:12:46;Deriv_vert;Emergency stop; LOG;;test
20170316_19:14:42;Connection;NA;Board disconnection;;test
20170316_19:18:03;Connection;NA;Board connection;;test
20170316_19:19:11;Deriv;gcode/20170316_19:19:11Method.gcode;gcode/20170316_19:19:11Method.gcode;;test
20170316_19:27:36;Deriv;gcode/20170316_19:27:36Method.gcode;gcode/20170316_19:27:36Method.gcode;;test
20170316_19:27:37;Deriv;Emergency stop; LOG;;test
20170316_19:27:38;Deriv;gcode/20170316_19:27:38Method.gcode;gcode/20170316_19:27:38Method.gcode;;test
20170316_19:27:57;Deriv;Emergency stop; LOG;;test
20170316_19:27:58;Deriv;gcode/20170316_19:27:58Method.gcode;gcode/20170316_19:27:58Method.gcode;;test
20170316_19:27:59;Deriv;Emergency stop; LOG;;test
20170316_19:28:00;Deriv;gcode/20170316_19:28:00Method.gcode;gcode/20170316_19:28:00Method.gcode;;test
20170316_19:28:09;Deriv;Emergency stop; LOG;;test
20170316_19:28:16;Connection;NA;Board disconnection;;test
20170316_19:28:56;Connection;NA;Board connection;;test
20170316_19:29:07;Deriv;gcode/20170316_19:29:07Method.gcode;gcode/20170316_19:29:07Method.gcode;;test
20170316_19:30:17;Deriv;Emergency stop; LOG;;test
20170316_19:30:19;Deriv;gcode/20170316_19:30:19Method.gcode;gcode/20170316_19:30:19Method.gcode;;test
20170316_19:31:40;Connection;NA;Board disconnection;;test
20170317_15:04:06;Connection;NA;Board connection;;test
20170317_15:10:02;Connection;NA;Board disconnection;;test
20170317_15:15:02;Connection;NA;Board connection;;test
20170317_15:15:18;Deriv;gcode/20170317_15:15:18Method.gcode;gcode/20170317_15:15:18Method.gcode;;test
20170317_15:16:18;Deriv;gcode/20170317_15:16:18Method.gcode;gcode/20170317_15:16:18Method.gcode;;test
20170317_15:16:19;Deriv;Emergency stop; LOG;;test
20170317_15:16:21;Deriv;gcode/20170317_15:16:21Method.gcode;gcode/20170317_15:16:21Method.gcode;;test
20170317_15:16:32;Deriv;Emergency stop; LOG;;test
20170317_15:16:43;Deriv;gcode/20170317_15:16:43Method.gcode;gcode/20170317_15:16:43Method.gcode;;test
20170317_15:36:17;Connection;NA;Board disconnection;;test
20170317_15:44:57;Connection;NA;Board connection;;test
20170317_15:45:46;test_ink;gcode/20170317_15:45:46test_ink.gcode;gcode/20170317_15:45:46test_ink.gcode;;test
20170317_15:45:47;test_ink;gcode/20170317_15:45:47test_ink.gcode;gcode/20170317_15:45:47test_ink.gcode;;test
20170317_15:45:48;test_ink;gcode/20170317_15:45:48test_ink.gcode;gcode/20170317_15:45:48test_ink.gcode;;test
20170317_15:45:48;test_ink;gcode/20170317_15:45:48test_ink.gcode;gcode/20170317_15:45:48test_ink.gcode;;test
20170317_15:45:49;test_ink;gcode/20170317_15:45:49test_ink.gcode;gcode/20170317_15:45:49test_ink.gcode;;test
20170317_15:45:49;test_ink;gcode/20170317_15:45:49test_ink.gcode;gcode/20170317_15:45:49test_ink.gcode;;test
20170317_15:45:49;test_ink;gcode/20170317_15:45:49test_ink.gcode;gcode/20170317_15:45:49test_ink.gcode;;test
20170317_15:45:50;test_ink;gcode/20170317_15:45:50test_ink.gcode;gcode/20170317_15:45:50test_ink.gcode;;test
20170317_15:46:21;test_ink;gcode/20170317_15:46:21test_ink.gcode;gcode/20170317_15:46:21test_ink.gcode;;test
20170317_15:46:22;test_ink;gcode/20170317_15:46:22test_ink.gcode;gcode/20170317_15:46:22test_ink.gcode;;test
20170317_15:46:22;test_ink;gcode/20170317_15:46:22test_ink.gcode;gcode/20170317_15:46:22test_ink.gcode;;test
20170317_15:46:23;test_ink;gcode/20170317_15:46:23test_ink.gcode;gcode/20170317_15:46:23test_ink.gcode;;test
20170317_15:46:27;test_ink;gcode/20170317_15:46:27test_ink.gcode;gcode/20170317_15:46:27test_ink.gcode;;test
20170317_15:46:27;test_ink;gcode/20170317_15:46:27test_ink.gcode;gcode/20170317_15:46:27test_ink.gcode;;test
20170317_15:46:31;test_ink;gcode/20170317_15:46:31test_ink.gcode;gcode/20170317_15:46:31test_ink.gcode;;test
20170317_15:46:32;test_ink;gcode/20170317_15:46:32test_ink.gcode;gcode/20170317_15:46:32test_ink.gcode;;test
20170317_15:46:33;test_ink;gcode/20170317_15:46:33test_ink.gcode;gcode/20170317_15:46:33test_ink.gcode;;test
20170317_15:46:33;test_ink;gcode/20170317_15:46:33test_ink.gcode;gcode/20170317_15:46:33test_ink.gcode;;test
20170317_15:46:37;test_ink;gcode/20170317_15:46:37test_ink.gcode;gcode/20170317_15:46:37test_ink.gcode;;test
20170317_15:46:38;test_ink;gcode/20170317_15:46:38test_ink.gcode;gcode/20170317_15:46:38test_ink.gcode;;test
20170317_15:46:38;test_ink;gcode/20170317_15:46:38test_ink.gcode;gcode/20170317_15:46:38test_ink.gcode;;test
20170317_15:46:39;test_ink;gcode/20170317_15:46:39test_ink.gcode;gcode/20170317_15:46:39test_ink.gcode;;test
20170317_15:46:44;test_ink;gcode/20170317_15:46:44test_ink.gcode;gcode/20170317_15:46:44test_ink.gcode;;test
20170317_15:46:45;test_ink;gcode/20170317_15:46:45test_ink.gcode;gcode/20170317_15:46:45test_ink.gcode;;test
20170317_15:46:47;test_ink;gcode/20170317_15:46:47test_ink.gcode;gcode/20170317_15:46:47test_ink.gcode;;test
20170317_15:46:54;test_ink;gcode/20170317_15:46:54test_ink.gcode;gcode/20170317_15:46:54test_ink.gcode;;test
